Name,Address,Phone,City,Postcode,Latitude,Longitude,Distance
1ClinicRx Pharmacy,16 Yonge St,(647) 344-8800,Toronto,M5E 2A1,43.6435428,-79.3760259,0
99 Pharmacy,436 Dundas St. W,(416) 977-8338,Toronto,M5T 1G7,43.6535574,-79.395664,0
Action Pharmacy,2425 Bloor St W,(416) 766-2401,Toronto,M6S 4W4,43.6491819,-79.4834832,0
Albion Finch Pharmacy,A102-6230 Finch Ave W,(416) 743-2100,Toronto,M9V 0A1,43.7416193,-79.5894463,0
Albion Medical Pharmacy,A1-900 Albion Rd,(416) 740-5500,Toronto,M9V 1A5,43.7353212,-79.5599928,0
Allcures Pharmacy,1-31 St Dennis Dr,(416) 696-1400,Toronto,M3C 1G7,43.716029,-79.3362193,0
Ambulatory Patient Pharmacy,"Sunnybrook Hospital, Room M1-101",(416) 480-4502,Toronto,M4N 3M5,43.7216846,-79.3757808,0
Apex Compounding Pharmacy,90 Eglinton Ave E,(416) 481-2231,Toronto,M4P 2Y3,43.7075668,-79.3957393,0
Apollon Pharmacy,698 Danforth Ave,(416) 463-1195,Toronto,M4J 1L1,43.67895,-79.3439105,0
Apotheca Compounding Pharmacy,417 Spadina Rd,(416) 322-0123,Toronto,M5P 2W3,43.6888451,-79.4126079,0
Ashdale Pharmacy,1568 Queen St E,(416) 469-2888,Toronto,M4L 1E9,43.6660886,-79.318813,0
Augusta Central Pharmacy,1-360 College St,(416) 961-6692,Toronto,M5T 1S6,43.6611023,-79.3833979,0
Ava Pharmacy,81 St Clair Ave E,(416) 962-2111,Toronto,M4T 1M7,43.6884794,-79.3907695,0
B & A Medical Pharmacy,15 Roncesvalles Ave,(416) 537-4101,Toronto,M6R 2K2,43.6393684,-79.4459783,0
Balmoral Chemists Inc,1366 Yonge St,(416) 934-9555,Toronto,M4T 3A7,43.6860342,-79.3936282,0
Bathurst-Bloor IDA Drug Mart,800 Bathurst St,(416) 537-2427,Toronto,M5R 3G1,43.6655628,-79.411661,0
Bay College Drug Mart,790 Bay St,(416) 640-7700,Toronto,M5G 1N8,43.6604976,-79.3860586,0
Beaches Pharmacy,1967 Queen St E,(416) 699-4999,Toronto,M4L 1H9,43.6695158,-79.3014836,0
Beaver Drugs Ltd,"196 Wilson Ave, unit 8",(416) 322-6697,Toronto,M5M 4N7,43.739728,-79.4238696,0
Beech Medical Pharmacy,855 Kingston Rd,(416) 699-1118,Toronto,M4E 1R9,43.6801472,-79.2908501,0
Best Care Village Pharmacy,3170 Eglinton Ave E,(416) 261-2838,Toronto,M1J 2H3,43.7430828,-79.2209273,0
Bio Pharmacy,1177 St Clair Ave W,(416) 654-2942,Toronto,M6E 1B5,43.6776281,-79.4434552,0
Blair Court Pharmacy,266 Donlands Ave,(416) 423-9113,Toronto,M4J 5B1,43.6896293,-79.3418911,0
Bloom Pharmacy,268 Queens Quay W,(416) 977-0970,Toronto,M5J 1B5,43.6390977,-79.3863438,0
Bloor Medical Pharmacy,1062 Bloor St W,(416) 516-6828,Toronto,M6H 1M3,43.6606846,-79.4328339,0
Bloor Park Pharmacy,728 Bloor St W,(416) 531-2426,Toronto,M6G 1L4,43.663741,-79.4181416,0
Bloor St Pharmacy,849 Bloor St W,(416) 537-4649,Toronto,M6G 1M3,43.6623045,-79.4236926,0
Bloor West Pharmacy,2262 Bloor St W,(416) 766-6477,Toronto,M6S 1N9,43.6509963,-79.4780566,0
Bloorcourt Pharmacy,936 Bloor St W,(416) 588-3100,Toronto,M6H 1L4,43.6617048,-79.427611,0
Bloor-Dundas Pharmacy,2333 Dundas St W,(416) 532-4465,Toronto,M6R 3A6,43.6559643,-79.4525483,0
Bloor-Sherbourne Pharmacy,608 Sherbourne St,(416) 944-1122,Toronto,M4X 1X6,43.6720227,-79.3770237,0
Blue Sky Pharmacy,1176-A St Clair Ave W,(416) 901-1417,Toronto,M6E 1B4,43.6781,-79.443727,0
Breast Centre Pharmacy,M6-408-2075 Bayview Ave,(416) 480-5336,Toronto,M4N 3M5,43.7228457,-79.3728749,0
Briarhill Pharmacy,63-2700 Dufferin St,(416) 784-5877,Toronto,M6B 4J3,43.7018021,-79.4538636,0
Bridgepoint Hospital,"Pharmacy Department, 1 Bridgepoint Dr",(416) 461-8252,Toronto,M4M 2B5,43.6657355,-79.3552703,0
BRMC IDA Pharmacy,2-3333 Brimley Rd,(416) 321-9111,Toronto,M1V 2J7,43.821121,-79.283632,0
Broadon Pharmacy,607 Gerrard St E,(416) 463-0833,Toronto,M4M 1Y2,43.6654635,-79.351462,0
Broadview Medical Pharmacy,743 Broadview Ave,(416) 463-5955,Toronto,M4K 2P6,43.6757903,-79.3580968,0
Cabbagetown Pharmacy Inc.,239 Carlton St,(416) 920-6337,Toronto,M5A 2L2,43.6640448,-79.3682362,0
CAMH Pharmacy,1001 Queen St W,(416) 535-8501,Toronto,M6J 1H4,43.6433338,-79.417546,0
Care and Health Pharmacy,2928 Danforth Ave,(416) 357-2565,Toronto,M4C 1M1,43.6901819,-79.2934668,0
Casey House,119 Isabella St,(416) 962-7600,Toronto,M4Y 1P2,43.6688283,-79.3789103,0
Cassandra Pharmacy Inc.,2040 Victoria Park Ave,(416) 449-2040,Toronto,M1R 1V2,43.7524704,-79.3140955,0
CATP,100-1111 Finch Ave W,(416) 636-3530,Toronto,M3J 2E5,43.767023,-79.4745192,0
CC Pharmacy,1351 Yonge St,(416) 960-1314,Toronto,M4T 1X9,43.6859843,-79.3929867,0
Centre For Addiction And Mental Health,1001 Queen St W,(416) 535-8501,Toronto,M6J 1H4,43.6433338,-79.417546,0
Centre For Addiction And Mental Health,250 College St,(416) 535-8501,Toronto,M5T 1R8,43.659269,-79.3994776,0
Charles Pharmacy,1204 King St W,(416) 533-3122,Toronto,M6K 1G4,43.6390068,-79.4276858,0
Christie Pharmacy,697 St Clair Ave W,(416) 653-0038,Toronto,M6C 1B2,43.6813847,-79.4261795,0
City Pharmacy,238 Danforth Ave,(416) 469-1898,Toronto,M4K 1N4,43.6770696,-79.3553891,0
Clair Gardens Pharmacy,1263 St Clair Ave W,(416) 652-2604,Toronto,M6E 1B8,43.6769531,-79.4466922,0
Clairhurst Medical Pharmacy,109-1466 Bathurst St,(416) 537-1300,Toronto,M5R 3S3,43.6827712,-79.4183088,0
Clinic Pharmacy,13th Floor NUW,(416) 340-5207,Toronto,M5G 2N2,43.6584136,-79.3891419,0
Cloud Healthcare Pharmacy,419 Dundas St W,(647) 508-2999,Toronto,M5T 1G6,43.6532436,-79.3951016,0
Cloud Pharmacy,55 Dundas Street East,(647) 748-1337,Toronto,M5B 1C6,43.6559343,-79.3786952,0
College Centre Pharmacy II,528 College St,(416) 944-9793,Toronto,M6G 1A6,43.6560272,-79.4109619,0
College Medical Pharmacy,474 College St,(416) 961-2191,Toronto,M6G 1A4,43.6562987,-79.4093809,0
Community Choice Pharmasave - Davenport,1892 Davenport Rd,(416) 651-8228,Toronto,M6N 1B7,43.6707598,-79.4543471,0
Costco Pharmacy,100 Billy Bishop Way,(416) 635-9724,Toronto,M3K 2C8,43.7310319,-79.4559251,0
Costco Pharmacy,42 Overlea Blvd,(647) 265-9387,Toronto,M4H 1B6,43.7073433,-79.3483158,0
Coxwell Pharmacy,688 Coxwell Ave,(416) 466-2131,Toronto,M4C 3B7,43.6826138,-79.3236267,0
Crescent St. Pharmacy,2688 Danforth Ave,(647) 351-0600,Toronto,M4C 1L7,43.6890493,-79.2988356,0
Cure IDA Pharmacy,108-1585 Markham Rd,(416) 533-4220,Toronto,M1B 2W1,43.790488,-79.2371272,0
CW Health Pharmacy,491 Church St.,(647) 748-5553,Toronto,M4Y 2C6,43.665213,-79.3804813,0
Dalecliff Medical Pharmacy,2-209 Ellesmere Rd,(416) 445-6978,Toronto,M1R 4E2,43.7579486,-79.3151867,0
Dale's Pharmacy,572 Parliament St,(416) 921-5700,Toronto,M4X 1P8,43.6675592,-79.3695812,0
Danforth Central Pharmacy,1188 Danforth Ave,(416) 778-8800,Toronto,M4J 1M3,43.6815926,-79.3325506,0
Danforth Drug Mart,1871 Danforth Ave,(416) 691-2225,Toronto,M4C 1J3,43.6844864,-79.3173543,0
Danforth Main Pharmacy,2575 Danforth Ave,(416) 691-5550,Toronto,M4C 1L5,43.6881323,-79.3003045,0
Danforth Medical Pharmacy,1156 Danforth Ave,(416) 469-1100,Toronto,M4J 1M3,43.6814159,-79.3333847,0
Danforth Neighbourhood Pharmacy Care,2416 Danforth Ave.,(416) 691-3871,Toronto,M4C 1K9,43.6877282,-79.3049845,0
Danny's Drugstore Inc.,2284 Kingston Rd.,(416) 266-3222,Toronto,M1N 1T9,43.705481,-79.2522299,0
Datus Pharmacy,103-2238 Dundas St W,(416) 588-4559,Toronto,M6R 3A9,43.6543685,-79.4514901,0
Davenport Guardian Pharmacy,115-219 Davenport Rd,(416) 925-6700,Toronto,M5R 1J3,43.6742313,-79.392502,0
Davisville Pharmacy,4-1901 Yonge St,(416) 483-0304,Toronto,M4S 1Y6,43.6980177,-79.3963286,0
Dawes Drugmart Ltd,424 Dawes Rd,(416) 757-2242,Toronto,M4B 2E9,43.7016672,-79.2971786,0
Deer Park Pharmacy,108-55 St Clair Ave W,(416) 923-1818,Toronto,M4V 2Y7,43.6873845,-79.3988328,0
Delisle Pharmacy,1560 Yonge St,(416) 922-5618,Toronto,M4T 2S9,43.6894573,-79.3950643,0
Demarco Pharmacy,2394 Keele St,(416) 244-5888,Toronto,M6M 4A5,43.7082127,-79.4781558,0
Desh Guardian Pharmacy,2978 Danforth Ave,(416) 699-9946,Toronto,M4C 1M6,43.6906061,-79.2919625,0
Dom's Pharmacy,3630 Victoria Park Ave.,(416) 490-0123,Toronto,M2H 3B2,43.8071151,-79.3386932,0
Don Russell Drug Mart,2891 Lake Shore Blvd W,(416) 251-2201,Toronto,M8V 1J1,43.6007765,-79.5038466,0
Don Valley Pharmacy Ltd,855 Broadview Ave,(416) 465-7675,Toronto,M4K 3Z1,43.6796083,-79.3578641,0
Downsview Park Pharmacy,100-2830 Keele St,(416) 638-1200,Toronto,M3M 3E5,43.7304791,-79.4834598,0
Downtown Dispensary 2,B-1678 Dufferin St,(416) 651-1333,Toronto,M6H 3M1,43.6775904,-79.4431427,0
Drug Basics Pharmacy Inc.,1068 Danforth Avenue,(416) 463-7697,Toronto,M4J 1M2,43.6809523,-79.3356328,0
Drug Centre Discount Pharmacy,1473 Eglinton Ave W,(416) 787-4906,Toronto,M6E 2G6,43.6978218,-79.4392365,0
DrugSmart Pharmacy,5 The Market Pl,(416) 694-6667,Toronto,M4C 5M2,43.6958821,-79.2920273,0
Drugstore Pharmacy,2549 Weston Rd,(416) 246-1417,Toronto,M9N 2A7,43.7081016,-79.5334085,0
Drugstore Pharmacy,10 Lower Jarvis St,(416) 304-0619,Toronto,M5E 1Z2,43.6447705,-79.3701389,0
Drugstore Pharmacy,985 Woodbine Ave,(416) 421-5727,Toronto,M4C 4B8,43.6862691,-79.3124902,0
Drugstore Pharmacy,222 Lansdowne Ave,(416) 588-7744,Toronto,M6K 3C6,43.649696,-79.4403251,0
Drugstore Pharmacy,25 Photography Dr,(416) 763-1502,Toronto,M6M 0A1,43.686662,-79.4839226,0
Drugstore Pharmacy,3671 Dundas St W,(416) 769-5570,Toronto,M6S 2T3,43.6654493,-79.4957853,0
Dufferin Central Pharmacy,1649 Dufferin St,(416) 658-8554,Toronto,M6H 3L9,43.6773548,-79.4426406,0
Dufferin Drug Mart,1670 Dufferin St,(416) 651-0052,Toronto,M6H 3M2,43.677364,-79.4432703,0
Dufferin Medical Pharmacy,2045 Dufferin St,(416) 651-0102,Toronto,M6E 3R4,43.6864614,-79.4462594,0
Dufferin-Finch Pharmacy,C1-2 Champagne Drive,(416) 665-6669,Toronto,M3J 2C5,43.7664487,-79.4720052,0
Duke Pharmacy,2798 Dundas St W,(416) 767-8800,Toronto,M6P 1Y5,43.6655097,-79.4627296,0
Dunbloor Medical Pharmacy,5115 Dundas St W,(416) 482-1980,Toronto,M9A 0B5,43.6445222,-79.5322747,0
Dundas Kipling Pharmacy,5359 Dundas St W,(416) 233-2222,Toronto,M9B 1B1,43.635736,-79.5399211,0
Dundas West Village Pharmacy,2940 Dundas St W,(416) 761-9036,Toronto,M6P 1Y8,43.6656136,-79.4675601,0
Dundas-Euclid Pharmacy,828 Dundas St W,(416) 603-6688,Toronto,M6J 1V3,43.6517987,-79.4093943,0
Dynasty Pharmacy,106-5460 Yonge St,(416) 250-5460,Toronto,M2N 6K7,43.777401,-79.4155725,0
Eagle Manor Pharmacy,19-1901 Weston Rd,(416) 241-1115,Toronto,M9N 3P5,43.7004054,-79.5165102,0
East Liberty Village Pharmacy,105-901 King St W,(416) 598-1243,Toronto,M5V 3H5,43.6416599,-79.4116258,0
Eglinton Bathurst Pharmacy,856 Eglinton Ave W,(416) 787-8281,Toronto,M6C 2B6,43.7011947,-79.4260591,0
Eglinton Discount Drugs,1774 Eglinton Ave W,(416) 785-5516,Toronto,M6E 2H6,43.6962321,-79.4486352,0
Eglinton Medical Pharmacy,2010 Eglinton Ave W,(416) 780-1452,Toronto,M6E 2K3,43.6948009,-79.4554338,0
Etobicoke First Pharmacy,5468 Dundas Street West,(647) 725-5143,Toronto,M9B 6E3,43.6327106,-79.5448453,0
Family Care Pharmacy,5-1209 King St W,(416) 535-6300,Toronto,M6K 1G2,43.6389706,-79.4265728,0
Finch-Leslie Pharmacy,149C Ravel Road,(416) 491-8833,Toronto,M2H 1T1,43.790786,-79.367763,0
Forest Hill Pharmacy,102-491 Eglinton Ave W,(416) 619-7768,Toronto,M5N 1A8,43.7034249,-79.4128462,0
Freshco Pharmacy,410 Bathurst St,(416) 925-4482,Toronto,M5T 2S6,43.6541419,-79.4068604,0
Friendly Care West King Pharmacy,2077 Weston Rd,(416) 248-4485,Toronto,M9N 1X7,43.7022071,-79.5224687,0
Front Street Pharmacy,431 King St E,(416) 362-1000,Toronto,M5A 1L5,43.653494,-79.3615599,0
Genix Pharmacy,3094 Danforth Ave,(416) 901-8459,Toronto,M1L 1B1,43.6915583,-79.2881969,0
GeriatRx Pharmacy,200-53 The Links Rd,(416) 221-7755,Toronto,M2P 1T7,43.7514707,-79.4015322,0
Gerrard Street Pharmacy,247 Coxwell Ave,(647) 748-0200,Toronto,M4L 3B4,43.6726238,-79.3188509,0
Get Well Pharmacy,1278 The Queensway,(416) 259-4747,Toronto,M8Z 1S3,43.6213624,-79.5264015,0
Glen George IDA,1118 Victoria Park Ave,(647) 347-6196,Toronto,M4B 2K3,43.7079154,-79.2962604,0
Glen Manor Pharmacy,116 Glen Manor Dr,(416) 690-1599,Toronto,M4E 2X2,43.6713332,-79.2926402,0
Glengrove Pharmacy,2760 Yonge St,(647) 340-7272,Toronto,M4N 2J2,43.7186543,-79.4011345,0
Glenholme Pharmacy,896 St Clair Ave W,(416) 656-8881,Toronto,M6C 1C5,43.680334,-79.4331814,0
Green Cross Pharmacy,2920 Sheppard Ave E,(416) 490-6522,Toronto,M1T 3J4,43.7759301,-79.3222528,0
Green Medical Pharmacy,1705 St Clair Ave W,(647) 340-2878,Toronto,M6N 1J2,43.674063,-79.4593796,0
Green Pharmacy,620A Bloor Street W,(416) 530-4004,Toronto,M6G 1K7,43.664618,-79.4141223,0
Greendale Drugs,152 Carlton St,(416) 967-6610,Toronto,M5A 2K1,43.6630098,-79.3745838,0
Greenwood Pharmacy,1285 Gerrard St E,(416) 466-3606,Toronto,M4L 1Y5,43.6706534,-79.3280281,0
Guardian Sheppard Community Pharmacy,109-1265 Morningside Ave,(647) 799-0669,Toronto,M1B 3V9,43.8025515,-79.1994219,0
Haber's Compounding Pharmacy,1584 Bathurst St,(416) 656-9800,Toronto,M5P 3H3,43.6866176,-79.4201057,0
Harbourfront Medicine Cabinet,1-8 York St,(416) 366-3669,Toronto,M5J 2Y2,43.641012,-79.3806905,0
Health Care Mart,1173 Queen St W,(416) 539-9555,Toronto,M6J 1J4,43.6425897,-79.4260119,0
Healthplus Pharmacy,1408 Queen St W,(416) 534-1313,Toronto,M6K 1L9,43.6411983,-79.4345632,0
HealthShield Pharmacy,589 King St E,(416) 400-3525,Toronto,M5A 1M6,43.6565173,-79.356457,0
HealthShield Pharmacy,939 O'Connor Dr,(416) 757-2839,Toronto,M4B 2S7,43.7077639,-79.3109573,0
HealthShield Pharmacy,681 Dundas St E,(416) 901-2568,Toronto,M5A 0R5,43.6606976,-79.3591075,0
Hellenic Pharmacy,374 Danforth Ave,(416) 461-0377,Toronto,M4K 1N8,43.6777086,-79.3521948,0
Heritage Pharmacy,1488 Danforth Ave,(416) 469-0444,Toronto,M4J 1N4,43.6830457,-79.3257418,0
High Park Pharmacy,1938 Bloor St W,(416) 769-2222,Toronto,M6P 3K8,43.6533747,-79.4667907,0
Hilary's Pharmacy,811 Dundas St W,(416) 603-1059,Toronto,M6J 1V4,43.6515971,-79.4086079,0
Holland Orthopaedic & Arthritic Centre,43 Wellesley St E,(416) 967-8625,Toronto,M4Y 1H1,43.6650195,-79.3823361,0
Hooper's Pharmacy,2136 Queen St E,(416) 699-3747,Toronto,M4E 1E3,43.671491,-79.293809,0
Howard Pharmacy,25 Howard St,(416) 515-1515,Toronto,M4X 1J6,43.6711383,-79.3750946,0
Hui's Pharmasave,Q-280 Spadina Ave,(416) 597-2201,Toronto,M5T 3A5,43.6526355,-79.3983795,0
Hurst Pharmacy,419 Donlands Ave,(416) 421-3131,Toronto,M4J 3S2,43.6944613,-79.3426612,0
icare Discount Pharmacy,6-1577 Danforth Ave,(416) 691-0786,Toronto,M4C 1H7,43.6833776,-79.3229608,0
Infinity Health Pharmacy,35 Lower Simcoe St,(416) 792-8900,Toronto,M5J 3A6,43.6419093,-79.3835327,0
International Pharmacy,1218 King St W,(416) 516-8016,Toronto,M6K 1G4,43.6388981,-79.4281234,0
Islington IDA Pharmacy,2428 Islington Ave,(416) 741-5553,Toronto,M9W 3X8,43.7236087,-79.5598821,0
Jamestown Pharmacy,5-225 Wellesley St E,(647) 349-3232,Toronto,M4X 1X8,43.6649409,-79.3845036,0
Jane Park Plaza Pharmacy,873 Jane St,(416) 763-2233,Toronto,M6N 4C4,43.6771866,-79.4944618,0
Jane Wilson Pharmacy,2111 Jane St,(647) 349-9100,Toronto,M3M 1A2,43.7191032,-79.5074268,0
Janedal Pharmacy,3-965 Jane St,(416) 604-8888,Toronto,M6N 4E1,43.7564128,-79.5161396,0
Jarvis St. Apothecary,275 Jarvis St,(416) 792-1959,Toronto,M5B 2C2,43.6582621,-79.374726,0
JC Pharmacy,1A-3685 Keele St,(416) 398-8887,Toronto,M3J 3H6,43.7541835,-79.4877013,0
John & Jack Pharmacy,787 Lawrence Ave W,(647) 347-9333,Toronto,M6A 1C2,43.7137819,-79.4539565,0
Junction Chemist,17 St Johns Rd,(647) 748-3784,Toronto,M6P 1T7,43.6652578,-79.473926,0
Junction Pharmacy,3016 Dundas St W,(416) 763-2394,Toronto,M6P 1Z3,43.6656651,-79.4699271,0
Kassel's Pharmacy Limited,396 Royal York Rd,(416) 251-1126,Toronto,M8Y 2R5,43.6193426,-79.4999369,0
Keele & Rogers Pharmacy,605 Rogers Rd,(416) 651-5332,Toronto,M6M 1B9,43.6816157,-79.4734646,0
Keele-Ingram Pharmacy Ltd,101-2221 Keele St,(416) 247-8618,Toronto,M6M 3Z5,43.6989823,-79.4755084,0
Kingsway Drugs,114 Cumberland St,(416) 962-3544,Toronto,M5R 1A6,43.6702879,-79.3916407,0
KLH Pharmacy,4113-A Lawrence Ave. E,(416) 282-2020,Toronto,M1E 2S2,43.7663824,-79.1943313,0
Konop Chemists Ltd,208 Bloor St W,(416) 925-6313,Toronto,M5S 3B4,43.6686587,-79.395839,0
L & A Pharmacy,1485 Gerrard St E,(416) 465-1515,Toronto,M4L 2A4,43.6724547,-79.3200611,0
Lakefront Medical Pharmacy,550 Queens Quay W,(647) 340-7730,Toronto,M5V 3M8,43.6368544,-79.3966201,0
Lakeside Pharmacy,2438 Lake Shore Blvd.,(416) 252-2999,Toronto,M8V 1C4,43.6142601,-79.4892689,0
Lawrence Heights Phamily Pharmacy,12 Flemington Rd,(416) 782-7426,Toronto,M6A 2N4,43.7195259,-79.4449407,0
Lawrence Medical Pharmacy,4-1575 Lawrence Ave W,(416) 245-4421,Toronto,M6L 1C3,43.7001458,-79.509993,0
Leaside Community Pharmacy,795 Eglinton Ave E,(416) 422-0186,Toronto,M4G 4E4,43.7131213,-79.3661381,0
Lefko Pharmasave,842 Wilson Ave,(416) 635-6802,Toronto,M3K 1E5,43.7308124,-79.4673782,0
Leslie Grove Pharmacy,1176 Queen St E,(416) 465-2637,Toronto,M4M 1L4,43.6629814,-79.3320951,0
Liberty Market Pharmacy,102-171 East Liberty St,(416) 588-8348,Toronto,M6K 3P6,43.63837,-79.4184338,0
Life Trust Pharmacy,201-125 Norfinch Dr,(416) 514-2745,Toronto,M3N 1W8,43.7664565,-79.5297741,0
Lingeman Pharmacy,411 Jane St,(416) 767-8409,Toronto,M6S 3Z6,43.6587064,-79.4880308,0
